实体ID,实体名称,实体类型
0,1129.0,患者
1,1130.0,患者
2,1131.0,患者
3,1132.0,患者
4,1133.0,患者
5,1134.0,患者
6,1136.0,患者
7,1137.0,患者
8,1138.0,患者
9,1139.0,患者
10,1140.0,患者
11,1141.0,患者
12,1142.0,患者
13,1143.0,患者
14,1144.0,患者
15,1145.0,患者
16,1146.0,患者
17,1148.0,患者
18,1150.0,患者
19,1151.0,患者
20,1152.0,患者
21,1153.0,患者
22,1154.0,患者
23,1155.0,患者
24,1156.0,患者
25,1157.0,患者
26,1158.0,患者
27,1159.0,患者
28,1160.0,患者
29,1161.0,患者
30,1163.0,患者
31,1164.0,患者
32,1165.0,患者
33,1166.0,患者
34,1167.0,患者
35,1168.0,患者
36,1169.0,患者
37,1171.0,患者
38,1172.0,患者
39,1173.0,患者
40,1174.0,患者
41,1175.0,患者
42,1177.0,患者
43,1178.0,患者
44,1179.0,患者
45,1180.0,患者
46,1182.0,患者
47,1183.0,患者
48,1185.0,患者
49,1186.0,患者
50,1188.0,患者
51,1189.0,患者
52,1190.0,患者
53,1191.0,患者
54,1192.0,患者
55,1193.0,患者
56,1194.0,患者
57,1196.0,患者
58,1198.0,患者
59,1199.0,患者
60,1200.0,患者
61,1201.0,患者
62,1202.0,患者
63,1203.0,患者
64,1204.0,患者
65,1205.0,患者
66,1207.0,患者
67,1208.0,患者
68,1209.0,患者
69,1210.0,患者
70,1211.0,患者
71,1213.0,患者
72,1214.0,患者
73,1215.0,患者
74,1216.0,患者
75,1218.0,患者
76,1219.0,患者
77,1220.0,患者
78,1221.0,患者
79,1222.0,患者
80,1223.0,患者
81,1224.0,患者
82,1225.0,患者
83,1226.0,患者
84,1227.0,患者
85,1229.0,患者
86,1230.0,患者
87,1231.0,患者
88,1232.0,患者
89,1233.0,患者
90,1234.0,患者
91,1235.0,患者
92,1236.0,患者
93,1237.0,患者
94,1238.0,患者
95,1239.0,患者
96,1240.0,患者
97,1241.0,患者
98,1242.0,患者
99,1243.0,患者
100,1244.0,患者
101,1245.0,患者
102,1246.0,患者
103,1247.0,患者
104,1248.0,患者
105,1249.0,患者
106,1251.0,患者
107,1252.0,患者
108,1253.0,患者
109,1254.0,患者
110,1255.0,患者
111,1256.0,患者
112,1257.0,患者
113,1258.0,患者
114,1262.0,患者
115,1263.0,患者
116,1264.0,患者
117,1267.0,患者
118,1268.0,患者
119,1269.0,患者
120,1270.0,患者
121,1272.0,患者
122,1273.0,患者
123,1275.0,患者
124,1276.0,患者
125,1277.0,患者
126,1278.0,患者
127,1279.0,患者
128,1280.0,患者
129,1281.0,患者
130,1282.0,患者
131,1283.0,患者
132,1284.0,患者
133,1286.0,患者
134,1287.0,患者
135,1288.0,患者
136,1289.0,患者
137,1290.0,患者
138,1291.0,患者
139,1292.0,患者
140,1293.0,患者
141,1294.0,患者
142,1295.0,患者
143,1296.0,患者
144,1297.0,患者
145,1299.0,患者
146,1300.0,患者
147,1301.0,患者
148,1302.0,患者
149,1303.0,患者
150,1304.0,患者
151,1305.0,患者
152,1306.0,患者
153,1307.0,患者
154,1308.0,患者
155,1309.0,患者
156,1310.0,患者
157,1311.0,患者
158,1312.0,患者
159,1313.0,患者
160,1314.0,患者
161,1315.0,患者
162,1316.0,患者
163,1317.0,患者
164,1318.0,患者
165,1320.0,患者
166,1321.0,患者
167,1322.0,患者
168,1323.0,患者
169,1325.0,患者
170,1326.0,患者
171,1327.0,患者
172,1328.0,患者
173,1329.0,患者
174,1330.0,患者
175,1331.0,患者
176,1332.0,患者
177,1333.0,患者
178,1334.0,患者
179,1335.0,患者
180,1336.0,患者
181,1337.0,患者
182,1339.0,患者
183,1341.0,患者
184,1342.0,患者
185,1343.0,患者
186,1344.0,患者
187,1345.0,患者
188,1346.0,患者
189,1347.0,患者
190,1348.0,患者
191,1349.0,患者
192,1350.0,患者
193,1352.0,患者
194,1353.0,患者
195,1355.0,患者
196,1356.0,患者
197,1357.0,患者
198,1358.0,患者
199,1360.0,患者
200,1361.0,患者
201,1362.0,患者
202,1363.0,患者
203,1365.0,患者
204,1366.0,患者
205,1367.0,患者
206,1368.0,患者
207,1369.0,患者
208,1370.0,患者
209,1371.0,患者
210,1372.0,患者
211,1373.0,患者
212,1374.0,患者
213,1375.0,患者
214,1376.0,患者
215,1377.0,患者
216,1378.0,患者
217,1379.0,患者
218,1380.0,患者
219,1381.0,患者
220,1382.0,患者
221,1383.0,患者
222,1384.0,患者
223,1385.0,患者
224,1387.0,患者
225,1388.0,患者
226,1389.0,患者
227,1391.0,患者
228,1393.0,患者
229,1394.0,患者
230,1395.0,患者
231,1396.0,患者
232,1397.0,患者
233,1399.0,患者
234,1400.0,患者
235,1401.0,患者
236,1402.0,患者
237,1403.0,患者
238,1404.0,患者
239,1405.0,患者
240,1406.0,患者
241,1407.0,患者
242,1409.0,患者
243,1410.0,患者
244,1411.0,患者
245,1412.0,患者
246,1413.0,患者
247,1414.0,患者
248,1416.0,患者
249,1417.0,患者
250,1418.0,患者
251,1419.0,患者
252,1420.0,患者
253,1421.0,患者
254,1424.0,患者
255,1425.0,患者
256,1426.0,患者
257,1427.0,患者
258,1428.0,患者
259,1429.0,患者
260,1430.0,患者
261,1431.0,患者
262,1432.0,患者
263,1433.0,患者
264,1434.0,患者
265,1435.0,患者
266,1436.0,患者
267,1437.0,患者
268,1438.0,患者
269,1439.0,患者
270,1440.0,患者
271,1442.0,患者
272,1443.0,患者
273,1444.0,患者
274,1445.0,患者
275,1446.0,患者
276,1449.0,患者
277,1450.0,患者
278,1452.0,患者
279,1453.0,患者
280,1454.0,患者
281,1455.0,患者
282,1457.0,患者
